login_id,user_id,timestamp,login_hour,is_new_device,device,device_type,browser,country,is_new_country,location_change,ip_risk_score,failed_login_attempts,time_since_last_login_hrs,login_frequency_per_day,historical_behavior_score,risk_score,risk_level,required_action,is_first_login
L000001,U00292,2026-01-01 02:40:34,12,0,MacBook,MacOS,Firefox,DE,0,0,0.261,0,0.0,2.18,0.5,0.1173,Low,Allow,1
L000002,U00712,2026-01-01 03:10:59,18,0,MacBook,MacOS,Chrome,IN,0,0,0.248,2,0.0,20.55,0.5,0.2235,Low,Allow,1
L000003,U00585,2026-01-01 04:38:16,13,0,iPhone,iOS,Chrome,IN,0,0,0.147,0,0.0,1.4,0.5,0.0952,Low,Allow,1
L000004,U00712,2026-01-01 05:29:20,19,0,MacBook,MacOS,Chrome,IN,0,0,0.152,1,2.31,3.76,0.559,0.0729,Low,Allow,0
L000005,U00463,2026-01-01 05:58:29,19,0,MacBook,MacOS,Firefox,IN,0,0,0.004,1,0.0,2.73,0.5,0.0792,Low,Allow,1
L000006,U00004,2026-01-01 07:16:39,23,0,iPad,iOS,Chrome,CA,0,0,0.145,0,0.0,4.87,0.5,0.118,Low,Allow,1
L000007,U00626,2026-01-01 07:25:46,13,0,Android-Phone,Android,Chrome,SG,0,0,0.16,0,0.0,1.05,0.5,0.0814,Low,Allow,1
L000008,U00533,2026-01-01 07:33:18,17,0,Windows-Laptop,Windows,Edge,IN,0,0,0.382,2,0.0,2.45,0.5,0.1809,Low,Allow,1
L000009,U00678,2026-01-01 07:37:12,9,0,Android-Tablet,Android,Firefox,FR,0,0,0.185,2,0.0,1.69,0.5,0.1393,Low,Allow,1
L000010,U00527,2026-01-01 07:37:56,11,0,iPad,iOS,Chrome,IN,0,0,0.112,1,0.0,0.95,0.5,0.1096,Low,Allow,1
L000011,U00784,2026-01-01 07:48:30,13,0,MacBook,MacOS,Chrome,IN,0,0,0.28,0,0.0,3.03,0.5,0.1212,Low,Allow,1
